航空公司 进港航班号 进机位时间 出机位时间 国际国内属性 飞行任务 机型 进出港总人数
CZ 1001 2015-7-24 9:20:00 2015-7-26 6:30:00 国际 I 77F 0
CZ 1002 2015-7-24 16:35:00 2015-7-26 8:40:00 国际 Y 738 378
CZ 1003 2015-7-24 19:30:00 2015-7-26 6:30:00 国际 I 77F 0
FX 1004 2015-7-25 1:45:00 2015-7-26 6:50:00 国际 I M1F 0
CF 1005 2015-7-25 7:50:00 2015-7-26 2:50:00 国内 I 73Y 0
CA 1006 2015-7-25 8:50:00 2015-7-26 0:15:00 国内 I 75F 0
CZ 1007 2015-7-25 12:45:00 2015-7-26 10:20:00 国内 Y 333 670
CZ 1008 2015-7-25 14:15:00 2015-7-26 11:00:00 国内 Y 788 500
CZ 1009 2015-7-25 14:20:00 2015-7-26 8:25:00 国际 Y 73W 298
CZ 1010 2015-7-25 14:25:00 2015-7-26 9:35:00 国内 Y E90 140
QR 1011 2015-7-25 14:45:00 2015-7-26 1:55:00 国际 Y 773 730
ET 1012 2015-7-25 14:55:00 2015-7-26 0:30:00 国际 Y 773 730
CZ 1013 2015-7-25 15:30:00 2015-7-26 0:30:00 国际 Y 332 606
CZ 1014 2015-7-25 16:10:00 2015-7-26 8:35:00 国内 Y 333 670
YT 1015 2015-7-25 16:55:00 2015-7-26 15:30:00 国内 5 G55 20
CZ 1016 2015-7-25 17:05:00 2015-7-26 8:25:00 国内 Y 788 500
CZ 1017 2015-7-25 17:05:00 2015-7-26 12:55:00 国内 Y 738 378
CZ 1018 2015-7-25 17:10:00 2015-7-26 12:35:00 国际 Y 788 500
HU 1019 2015-7-25 17:20:00 2015-7-26 7:55:00 国内 Y 738 378
CZ 1020 2015-7-25 17:20:00 2015-7-26 14:00:00 国际 Y 788 500
CZ 1021 2015-7-25 17:25:00 2015-7-26 9:30:00 国际 Y 788 500
CA 1022 2015-7-25 17:40:00 2015-7-26 7:10:00 国内 Y 73G 268
YT 1023 2015-7-25 18:00:00 2015-7-26 11:30:00 国际 5 CCX 238
CZ 1024 2015-7-25 18:25:00 2015-7-26 9:55:00 国内 Y 738 378
CZ 1025 2015-7-25 18:35:00 2015-7-26 9:05:00 国内 Y 738 378
CZ 1026 2015-7-25 18:35:00 2015-7-26 11:25:00 国内 Y 738 378
CZ 1027 2015-7-25 18:45:00 2015-7-26 6:45:00 国内 Y 321 362
CZ 1028 2015-7-25 18:55:00 2015-7-26 1:40:00 国际 Y 773 730
HU 1029 2015-7-25 19:10:00 2015-7-26 7:55:00 国内 Y 738 378
CZ 1030 2015-7-25 19:30:00 2015-7-26 0:20:00 国际 Y 332 606
CZ 1031 2015-7-25 19:30:00 2015-7-26 7:30:00 国际 Y 73G 268
CZ 1032 2015-7-25 19:35:00 2015-7-26 7:05:00 国内 Y 319 252
CZ 1033 2015-7-25 19:35:00 2015-7-26 8:15:00 国内 Y 752 478
JD 1034 2015-7-25 19:35:00 2015-7-26 7:25:00 国内 Y 319 252
CZ 1035 2015-7-25 19:35:00 2015-7-26 11:55:00 国内 Y 73W 298
ZH 1036 2015-7-25 20:00:00 2015-7-26 8:55:00 国内 Y 738 378
CZ 1037 2015-7-25 20:05:00 2015-7-26 8:00:00 国内 Y 321 362
CZ 1038 2015-7-25 20:05:00 2015-7-26 9:15:00 国内 Y 319 252
CZ 1039 2015-7-25 20:10:00 2015-7-26 10:05:00 国内 Y 752 478
CZ 1040 2015-7-25 20:10:00 2015-7-26 8:20:00 国内 Y 738 378
CZ 1041 2015-7-25 20:10:00 2015-7-26 9:25:00 国内 Y 319 252
ZH 1042 2015-7-25 20:20:00 2015-7-26 7:20:00 国内 Y 738 378
HU 1043 2015-7-25 20:20:00 2015-7-26 7:00:00 国内 Y 738 378
CA 1044 2015-7-25 20:20:00 2015-7-26 7:50:00 国内 Y 73G 268
CZ 1045 2015-7-25 20:40:00 2015-7-26 8:45:00 国际 Y 320 312
ZH 1046 2015-7-25 21:00:00 2015-7-26 8:50:00 国内 Y 738 378
CZ 1047 2015-7-25 21:00:00 2015-7-26 8:30:00 国际 Y 788 500
CZ 1048 2015-7-25 21:05:00 2015-7-26 8:05:00 国内 Y 738 378
MH 1049 2015-7-25 21:05:00 2015-7-26 0:05:00 国际 O 388 1312
CA 1050 2015-7-25 21:05:00 2015-7-26 8:45:00 国内 Y 738 378
CZ 1051 2015-7-25 21:10:00 2015-7-26 0:05:00 国际 Y 332 606
NH 1052 2015-7-25 21:10:00 2015-7-26 9:10:00 国际 Y 763 538
CA 1053 2015-7-25 21:15:00 2015-7-26 8:35:00 国内 Y 321 362
MU 1054 2015-7-25 21:15:00 2015-7-26 0:05:00 国际 Y 738 378
CA 1055 2015-7-25 21:20:00 2015-7-26 8:30:00 国内 Y 333 670
CZ 1056 2015-7-25 21:25:00 2015-7-26 11:35:00 国内 Y 319 252
CZ 1057 2015-7-25 21:30:00 2015-7-26 8:20:00 国内 Y 73G 268
CZ 1058 2015-7-25 21:30:00 2015-7-26 7:40:00 国内 Y 73W 298
CZ 1059 2015-7-25 21:35:00 2015-7-26 6:10:00 国内 Y 319 252
CZ 1060 2015-7-25 21:40:00 2015-7-26 8:00:00 国内 Y 772 752
CZ 1061 2015-7-25 21:40:00 2015-7-26 7:10:00 国内 3 738 378
CZ 1062 2015-7-25 21:45:00 2015-7-26 8:15:00 国内 Y 321 362
CA 1063 2015-7-25 21:45:00 2015-7-26 7:25:00 国内 Y 73G 268
CZ 1064 2015-7-25 21:50:00 2015-7-26 9:30:00 国际 Y 319 252
CZ 1065 2015-7-25 21:55:00 2015-7-26 6:40:00 国内 Y 73G 268
CA 1066 2015-7-25 21:55:00 2015-7-26 7:15:00 国内 Y 73W 298
CZ 1067 2015-7-25 21:55:00 2015-7-26 8:10:00 国内 Y 321 362
CZ 1068 2015-7-25 22:00:00 2015-7-26 11:35:00 国际 Y 320 312
CZ 1069 2015-7-25 22:00:00 2015-7-26 8:15:00 国内 Y 320 312
CZ 1070 2015-7-25 22:05:00 2015-7-26 8:10:00 国内 Y E90 140
CZ 1071 2015-7-25 22:05:00 2015-7-26 7:25:00 国内 Y 319 252
JD 1072 2015-7-25 22:10:00 2015-7-26 6:35:00 国内 Y 319 252
CZ 1073 2015-7-25 22:10:00 2015-7-26 8:00:00 国内 Y 332 606
